ACC,Construction Materials,
ADANIENT,Metals & Mining,
ADANIGREEN,Power,
ADANIPORTS,Services,
ADANITRANS,Power,
AMBUJACEM,Construction Materials,
APOLLOHOSP,Healthcare,
ASIANPAINT,Consumer Durables,
DMART,Consumer Services,
AXISBANK,Financial Services,
BAJAJ-AUTO,Automobile and Auto Components,
BAJFINANCE,Financial Services,
BAJAJFINSV,Financial Services,
BAJAJHLDNG,Financial Services,
BANDHANBNK,Financial Services,
BANKBARODA,Financial Services,
BERGEPAINT,Consumer Durables,
BPCL,Oil Gas & Consumable Fuels,
BHARTIARTL,Telecommunication,
BIOCON,Healthcare,
BOSCHLTD,Automobile and Auto Components,
BRITANNIA,Fast Moving Consumer Goods,
CHOLAFIN,Financial Services,
CIPLA,Healthcare,
COALINDIA,Oil Gas & Consumable Fuels,
COLPAL,Fast Moving Consumer Goods,
DLF,Realty,
DABUR,Fast Moving Consumer Goods,
DIVISLAB,Healthcare,
DRREDDY,Healthcare,
EICHERMOT,Automobile and Auto Components,
NYKAA,Consumer Services,
GAIL,Oil Gas & Consumable Fuels,
GLAND,Healthcare,
GODREJCP,Fast Moving Consumer Goods,
GRASIM,Construction Materials,
HCLTECH,Information Technology,
HDFCAMC,Financial Services,
HDFCBANK,Financial Services,
HDFCLIFE,Financial Services,
HAVELLS,Consumer Durables,
HEROMOTOCO,Automobile and Auto Components,
HINDALCO,Metals & Mining,
HINDUNILVR,Fast Moving Consumer Goods,
HDFC,Financial Services,
ICICIBANK,Financial Services,
ICICIGI,Financial Services,
ICICIPRULI,Financial Services,
ITC,Fast Moving Consumer Goods,
IOC,Oil Gas & Consumable Fuels,
INDUSTOWER,Telecommunication,
INDUSINDBK,Financial Services,
NAUKRI,Consumer Services,
INFY,Information Technology,
INDIGO,Services,
JSWSTEEL,Metals & Mining,
JUBLFOOD,Consumer Services,
KOTAKBANK,Financial Services,
LTI,Information Technology,
LT,Construction,
LUPIN,Healthcare,
M&M,Automobile and Auto Components,
MARICO,Fast Moving Consumer Goods,
MARUTI,Automobile and Auto Components,
MINDTREE,Information Technology,
MUTHOOTFIN,Financial Services,
NMDC,Metals & Mining,
NTPC,Power,
NESTLEIND,Fast Moving Consumer Goods,
ONGC,Oil Gas & Consumable Fuels,
PAYTM,Financial Services,
PIIND,Chemicals,
PIDILITIND,Chemicals,
PEL,Financial Services,
POWERGRID,Power,
PGHH,Fast Moving Consumer Goods,
PNB,Financial Services,
RELIANCE,Oil Gas & Consumable Fuels,
SBICARD,Financial Services,
SBILIFE,Financial Services,
SRF,Chemicals,
SHREECEM,Construction Materials,
SIEMENS,Capital Goods,
SBIN,Financial Services,
SAIL,Metals & Mining,
SUNPHARMA,Healthcare,
TCS,Information Technology,
TATACONSUM,Fast Moving Consumer Goods,
TATAMOTORS,Automobile and Auto Components,
TATASTEEL,Metals & Mining,
TECHM,Information Technology,
TITAN,Consumer Durables,
TORNTPHARM,Healthcare,
UPL,Chemicals,
ULTRACEMCO,Construction Materials,
MCDOWELL-N,Fast Moving Consumer Goods,
VEDL,Metals & Mining,
WIPRO,Information Technology,
ZOMATO,Consumer Services,
ZYDUSLIFE,Healthcare
